0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:23:32 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:28:18 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:28:18 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4429
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:28:21 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:32:03 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:32:03 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4444
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:32:06 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:38:51 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:38:51 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:38:51 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:38:51 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4454
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:38:53 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:41:58 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:41:58 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:42:01 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:43:31 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:43:31 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4619
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:43:54 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:43:54 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4617
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:44:04 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:44:05 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:44:37 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:44:37 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4637
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:44:40 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:45:00 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:45:01 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:45:33 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:45:33 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:47:25 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:47:25 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4659
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:47:27 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:50:57 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:50:57 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4662
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:50:59 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:52:47 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:52:47 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:52:47 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:52:47 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4705
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:53:32 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:22:53:32 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4702
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:05:50 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:05:50 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4719
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:05:52 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:36:23 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:36:24 -0400] "GET /ScrumbledorsArmy/static/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:36:24 -0400] "GET /ScrumbledorsArmy/static/cssDragDropEx.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:36:24 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4740
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:36:26 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:37:34 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:37:34 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:39:02 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:39:02 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:42:51 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:42:51 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4801
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:44:14 -0400] "GET /ScrumbledorsArmy/static/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:44:14 -0400] "GET /ScrumbledorsArmy/static/script.js HTTP/1.1" 200 4819
0:0:0:0:0:0:0:1 - - [03/Aug/2017:23:44:17 -0400] "GET /ScrumbledorsArmy/static/dragDropEx.html HTTP/1.1" 304 -
